time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-03-24 00:00:00+00:00,5,5,18,1
2023-03-27 00:00:00+00:00,3,3,11,1
2023-03-28 00:00:00+00:00,0,0,6,1
2023-03-29 00:00:00+00:00,0,0,1,1
2023-03-31 00:00:00+00:00,0,0,4,1
2024-11-29 00:00:00+00:00,8,8,28,1
2024-12-03 00:00:00+00:00,1,1,2,1
2024-12-09 00:00:00+00:00,0,0,6,1
2024-12-10 00:00:00+00:00,0,0,4,1
2024-12-13 00:00:00+00:00,0,0,1,1
2024-12-17 00:00:00+00:00,0,0,17,1
2024-12-19 00:00:00+00:00,0,0,1,1
2025-01-06 00:00:00+00:00,1,1,0,0
2025-01-24 00:00:00+00:00,0,0,1,1
2025-02-02 00:00:00+00:00,1,1,0,0
2025-02-03 00:00:00+00:00,1,1,5,2
2025-02-05 00:00:00+00:00,0,0,3,2
2025-02-07 00:00:00+00:00,1,1,0,0
2025-02-10 00:00:00+00:00,1,1,0,0
2025-02-13 00:00:00+00:00,2,2,0,0
2025-02-18 00:00:00+00:00,1,1,0,0
2025-02-20 00:00:00+00:00,1,1,0,0
2025-02-22 00:00:00+00:00,1,1,0,0
2025-02-24 00:00:00+00:00,1,1,0,0
2025-02-25 00:00:00+00:00,1,1,0,0
2025-02-27 00:00:00+00:00,1,1,0,0
2025-03-03 00:00:00+00:00,1,1,0,0
2025-03-04 00:00:00+00:00,2,2,0,0
2025-03-06 00:00:00+00:00,2,2,0,0
2025-03-07 00:00:00+00:00,1,1,0,0
2025-03-08 00:00:00+00:00,1,1,0,0
2025-03-14 00:00:00+00:00,0,0,1,1
2025-03-15 00:00:00+00:00,1,1,0,0
2025-03-19 00:00:00+00:00,1,1,0,0
2025-03-20 00:00:00+00:00,1,1,0,0
2025-03-21 00:00:00+00:00,1,1,0,0
2025-03-28 00:00:00+00:00,1,1,0,0
2025-03-31 00:00:00+00:00,1,1,0,0
2025-04-03 00:00:00+00:00,1,1,0,0
2025-04-06 00:00:00+00:00,1,1,0,0
2025-04-11 00:00:00+00:00,1,1,0,0
2025-04-13 00:00:00+00:00,1,1,0,0
2025-05-24 00:00:00+00:00,1,1,0,0
2025-05-26 00:00:00+00:00,1,1,0,0
2025-05-27 00:00:00+00:00,1,1,0,0
2025-06-05 00:00:00+00:00,1,1,0,0
2025-06-07 00:00:00+00:00,2,2,0,0
2025-06-11 00:00:00+00:00,1,1,0,0
2025-06-13 00:00:00+00:00,2,2,0,0
2025-06-18 00:00:00+00:00,1,1,0,0
2025-06-29 00:00:00+00:00,1,1,0,0
2025-07-01 00:00:00+00:00,1,1,0,0
2025-07-03 00:00:00+00:00,1,1,0,0
2025-07-04 00:00:00+00:00,1,1,0,0
2025-07-05 00:00:00+00:00,1,1,0,0
2025-07-11 00:00:00+00:00,1,1,0,0
2025-07-14 00:00:00+00:00,2,2,0,0
2025-07-17 00:00:00+00:00,1,1,0,0
2025-07-24 00:00:00+00:00,1,1,0,0
2025-07-30 00:00:00+00:00,1,1,0,0
2025-08-05 00:00:00+00:00,0,0,1,1
