time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-15 00:00:00+00:00,162,128,57,13
2026-05-16 00:00:00+00:00,191,177,33,7
2026-05-17 00:00:00+00:00,125,113,4,4
2026-05-18 00:00:00+00:00,554,489,22,11
2026-05-19 00:00:00+00:00,459,381,49,8
2026-05-20 00:00:00+00:00,203,159,10,6
2026-05-21 00:00:00+00:00,361,290,46,10
2026-05-22 00:00:00+00:00,127,111,33,11
2026-05-23 00:00:00+00:00,130,116,5,4
2026-05-24 00:00:00+00:00,121,113,6,2
2026-05-25 00:00:00+00:00,399,231,11,8
2026-05-26 00:00:00+00:00,309,273,38,24
2026-05-27 00:00:00+00:00,326,284,7,7
2026-05-28 00:00:00+00:00,306,277,39,14
