time_iso8601,stars_cumulative
2019-06-07 00:00:00+00:00,1
2019-08-10 00:00:00+00:00,2
2019-08-19 00:00:00+00:00,3
2019-08-25 00:00:00+00:00,4
2019-09-03 00:00:00+00:00,5
2019-09-29 00:00:00+00:00,6
2019-11-25 00:00:00+00:00,7
2020-01-27 00:00:00+00:00,8
2020-03-29 00:00:00+00:00,9
2020-06-02 00:00:00+00:00,10
2020-07-08 00:00:00+00:00,11
2020-07-20 00:00:00+00:00,12
2020-08-24 00:00:00+00:00,13
2020-08-26 00:00:00+00:00,14
2020-09-16 00:00:00+00:00,15
2020-11-15 00:00:00+00:00,16
2020-12-29 00:00:00+00:00,17
2021-01-30 00:00:00+00:00,18
2021-04-18 00:00:00+00:00,19
2021-05-23 00:00:00+00:00,20
2021-09-05 00:00:00+00:00,21
2021-09-13 00:00:00+00:00,22
2021-09-18 00:00:00+00:00,23
2021-10-26 00:00:00+00:00,24
2021-12-12 00:00:00+00:00,25
2021-12-20 00:00:00+00:00,26
2022-01-29 00:00:00+00:00,27
2022-02-10 00:00:00+00:00,28
2022-03-23 00:00:00+00:00,29
2022-04-05 00:00:00+00:00,30
2022-04-10 00:00:00+00:00,31
2022-04-15 00:00:00+00:00,32
2022-04-21 00:00:00+00:00,33
2022-04-28 00:00:00+00:00,34
2022-05-05 00:00:00+00:00,35
2022-05-07 00:00:00+00:00,36
2022-07-04 00:00:00+00:00,37
2022-09-26 00:00:00+00:00,38
2022-09-28 00:00:00+00:00,39
2022-10-04 00:00:00+00:00,40
2022-11-08 00:00:00+00:00,41
2022-12-10 00:00:00+00:00,42
2022-12-19 00:00:00+00:00,43
2022-12-27 00:00:00+00:00,44
2023-01-27 00:00:00+00:00,45
2023-02-01 00:00:00+00:00,46
2023-02-16 00:00:00+00:00,47
2023-03-02 00:00:00+00:00,48
2023-03-28 00:00:00+00:00,49
2023-04-06 00:00:00+00:00,50
2023-04-10 00:00:00+00:00,51
2023-04-11 00:00:00+00:00,52
2023-04-13 00:00:00+00:00,53
2023-04-22 00:00:00+00:00,54
2023-05-16 00:00:00+00:00,55
2023-05-30 00:00:00+00:00,56
2023-06-21 00:00:00+00:00,57
2023-06-27 00:00:00+00:00,58
2023-07-04 00:00:00+00:00,59
2023-07-19 00:00:00+00:00,60
2023-07-25 00:00:00+00:00,61
2023-07-29 00:00:00+00:00,62
2023-08-03 00:00:00+00:00,63
2023-08-14 00:00:00+00:00,64
2023-09-01 00:00:00+00:00,65
2023-09-03 00:00:00+00:00,66
2023-09-05 00:00:00+00:00,67
2023-09-07 00:00:00+00:00,68
2023-09-11 00:00:00+00:00,69
2023-09-26 00:00:00+00:00,70
2023-09-27 00:00:00+00:00,71
2023-10-08 00:00:00+00:00,72
2023-10-14 00:00:00+00:00,73
2023-10-19 00:00:00+00:00,74
2023-11-06 00:00:00+00:00,75
2023-11-08 00:00:00+00:00,76
2023-11-12 00:00:00+00:00,77
2023-11-22 00:00:00+00:00,78
2023-12-07 00:00:00+00:00,79
2024-01-09 00:00:00+00:00,80
2024-01-12 00:00:00+00:00,81
2024-01-20 00:00:00+00:00,82
2024-01-22 00:00:00+00:00,83
2024-03-06 00:00:00+00:00,84
2024-03-11 00:00:00+00:00,85
2024-03-12 00:00:00+00:00,86
2024-04-07 00:00:00+00:00,87
2024-04-28 00:00:00+00:00,88
2024-05-05 00:00:00+00:00,89
2024-06-06 00:00:00+00:00,90
2024-06-08 00:00:00+00:00,91
2024-07-18 00:00:00+00:00,92
2024-07-31 00:00:00+00:00,93
2024-09-02 00:00:00+00:00,94
2024-09-08 00:00:00+00:00,95
2024-10-17 00:00:00+00:00,96
