time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-03-17 00:00:00+00:00,19,9,5,2
2023-03-18 00:00:00+00:00,14,7,24,9
2023-03-19 00:00:00+00:00,12,9,36,8
2023-03-20 00:00:00+00:00,75,25,53,16
2023-03-21 00:00:00+00:00,37,15,68,19
2023-03-22 00:00:00+00:00,61,14,76,16
2023-03-23 00:00:00+00:00,73,13,50,13
2023-03-24 00:00:00+00:00,57,18,288,25
2023-03-25 00:00:00+00:00,5,4,12,8
2023-03-26 00:00:00+00:00,14,4,144,12
2023-03-27 00:00:00+00:00,81,17,71,15
2023-03-28 00:00:00+00:00,62,19,92,25
2023-03-29 00:00:00+00:00,55,18,69,18
2023-03-30 00:00:00+00:00,76,14,71,20
2023-03-31 00:00:00+00:00,77,24,142,20
2023-04-01 00:00:00+00:00,5,5,84,14
2023-04-02 00:00:00+00:00,6,6,15,5
2023-04-03 00:00:00+00:00,39,18,157,21
2023-04-04 00:00:00+00:00,46,18,42,16
2023-04-05 00:00:00+00:00,53,16,81,14
2023-04-06 00:00:00+00:00,47,17,91,22
2023-04-07 00:00:00+00:00,14,9,68,17
2023-04-08 00:00:00+00:00,3,3,51,6
2023-04-09 00:00:00+00:00,8,8,47,9
2023-04-10 00:00:00+00:00,7,6,85,14
2023-04-11 00:00:00+00:00,41,15,72,15
2023-04-12 00:00:00+00:00,48,17,130,16
2023-04-13 00:00:00+00:00,69,20,136,28
2023-04-14 00:00:00+00:00,32,16,34,10
2023-04-15 00:00:00+00:00,7,7,12,8
2023-04-16 00:00:00+00:00,7,7,8,7
2023-04-17 00:00:00+00:00,42,14,95,22
2023-04-18 00:00:00+00:00,57,20,83,19
2023-04-19 00:00:00+00:00,28,14,48,18
2023-04-20 00:00:00+00:00,47,12,130,17
2023-04-21 00:00:00+00:00,49,11,89,23
2023-04-22 00:00:00+00:00,7,7,26,11
2023-04-23 00:00:00+00:00,11,11,11,7
2023-04-24 00:00:00+00:00,39,13,66,22
